;Gemeente;30/03/2020;29/03/2020;28/03/2020;27/03/2020;26/03/2020;25/03/2020;24/03/2020;23/03/2020;22/03/2020;21/03/2020;20/03/2020;19/03/2020;18/03/2020;17/03/2020;16/03/2020;15/03/2020;14/03/2020;13/03/2020;12/03/2020;11/03/2020;10/03/2020;09/03/2020;08/03/2020
175;Leudal;52;45;41;37;32;29;26;23;22;20;16;13;11;8;7;6;6;4;4;3;2;1;0
176;Leusden;19;19;17;16;13;13;9;7;6;6;4;4;3;1;1;0;0;0;0;0;0;0;0
177;Lingewaard;28;27;25;22;14;14;11;10;9;6;6;5;4;3;3;3;3;2;2;2;2;2;2
178;Lisse;4;4;3;3;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
179;Lochem;14;14;14;11;8;6;2;2;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0
180;Loon op Zand;31;31;29;25;21;20;20;17;16;14;13;11;9;8;7;7;7;7;6;7;7;7;7
181;Lopik;17;17;13;13;12;11;10;9;6;4;3;3;3;2;1;0;0;0;0;0;0;0;0
182;Loppersum;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
183;Losser;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
184;Maasdriel;12;11;8;6;5;3;3;2;2;2;2;1;1;1;0;0;0;0;0;0;1;1;1
185;Maasgouw;13;13;13;13;12;10;9;9;8;7;5;5;4;3;2;2;1;0;0;0;0;0;0
186;Maassluis;15;14;14;11;8;7;7;6;5;3;2;2;2;1;1;1;1;0;0;0;0;0;0
187;Maastricht;185;173;162;126;118;112;94;60;59;57;56;42;41;33;24;21;16;10;8;8;7;6;4
188;Medemblik;22;19;14;8;6;4;4;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
189;Meerssen;13;12;10;8;8;8;8;3;3;2;2;2;2;1;1;0;0;0;0;0;0;0;0
190;Meierijstad;243;227;207;195;168;149;139;127;119;95;81;72;60;49;42;34;30;25;18;13;11;10;4
191;Meppel;8;8;6;4;3;3;3;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
192;Middelburg;14;13;10;9;8;7;6;6;5;4;3;3;2;1;1;0;0;0;0;0;0;0;0
193;Midden-Delfland;4;4;4;3;2;2;2;2;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0
194;Midden-Drenthe;5;5;4;2;2;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
195;Midden-Groningen;8;6;6;5;5;2;2;2;2;2;2;2;2;1;1;1;0;0;0;0;0;0;0
196;Mill en Sint Hubert;11;11;9;7;5;5;5;2;2;2;2;2;1;1;1;1;0;0;0;0;0;0;0
197;Moerdijk;12;10;10;6;5;5;4;3;3;3;3;2;1;1;1;1;1;1;0;0;0;0;0
198;Molenlanden;23;19;18;17;16;16;13;11;11;11;11;9;7;3;2;1;0;0;0;0;0;0;0
199;Montferland;10;10;6;5;4;3;3;3;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0
200;Montfoort;15;14;12;11;9;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201;Mook en Middelaar;8;8;8;5;5;5;5;3;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
202;Neder-Betuwe;33;31;20;16;13;11;11;9;9;5;5;4;4;4;4;4;3;3;1;1;1;1;0
203;Nederweert;27;27;24;21;18;14;11;9;8;7;7;7;7;5;3;3;3;1;0;0;0;0;0
204;Nieuwegein;33;30;25;17;15;12;11;11;9;9;8;6;4;3;1;1;0;0;0;0;0;0;0
205;Nieuwkoop;10;10;8;7;6;6;4;3;3;2;1;1;1;1;1;1;1;1;1;0;0;0;0
206;Nijkerk;18;18;18;15;12;8;8;7;4;4;2;2;2;2;1;0;0;0;0;0;0;0;0
207;Nijmegen;197;178;149;132;122;108;93;79;68;60;55;48;41;31;17;12;9;8;6;4;3;3;2
208;Nissewaard;40;38;37;28;23;19;17;15;15;12;11;7;4;3;1;1;1;1;1;0;0;0;0
209;Noardeast-Fryslân;6;6;4;4;3;3;3;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
210;Noord-Beveland;2;2;2;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211;Noordenveld;5;5;3;3;3;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
212;Noordoostpolder;11;11;10;10;8;5;4;3;3;3;2;2;2;2;2;2;2;0;0;0;0;0;0
213;Noordwijk;17;17;15;10;8;7;6;6;6;3;2;3;2;2;2;2;2;2;2;2;2;2;0
214;Nuenen, Gerwen en Nederwetten;16;14;13;11;10;8;4;4;3;1;1;1;1;1;1;1;1;1;1;1;1;0;0
215;Nunspeet;52;45;43;39;31;29;22;17;13;9;4;3;3;2;2;1;1;1;0;0;0;0;0
216;Oegstgeest;15;13;13;12;9;9;8;7;7;7;6;5;4;4;4;4;4;2;2;2;1;1;1
217;Oirschot;14;14;11;10;8;6;4;3;3;1;1;1;1;1;1;0;0;0;0;0;0;0;0
218;Oisterwijk;27;25;24;23;21;18;16;16;16;15;12;10;10;10;9;6;6;6;5;4;3;3;3
219;Oldambt;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
220;Oldebroek;30;28;22;19;16;12;8;7;7;6;5;5;5;2;2;1;1;1;0;0;0;0;0
221;Oldenzaal;22;19;18;17;15;13;8;6;6;6;5;3;2;1;1;1;1;0;0;0;0;0;0
222;Olst-Wijhe;9;8;6;6;6;6;4;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
223;Ommen;10;10;10;7;7;7;6;6;4;4;3;2;2;1;1;1;1;0;0;0;0;0;0
224;Oost Gelre;11;11;8;7;6;6;6;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0
225;Oosterhout;44;40;36;31;29;26;23;22;16;13;12;9;9;8;6;5;4;3;1;0;0;0;0
226;Ooststellingwerf;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
227;Oostzaan;8;7;7;7;7;6;5;5;4;3;3;2;2;1;0;0;0;0;0;0;0;0;0
228;Opmeer;3;3;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
229;Opsterland;7;7;6;6;5;4;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0
230;Oss;174;154;141;128;100;81;73;65;59;44;35;26;20;14;11;5;4;3;3;2;1;1;1
231;Oude IJsselstreek;10;10;7;5;5;4;4;4;4;4;2;2;2;2;1;0;0;0;0;0;0;0;0
232;Ouder-Amstel;10;9;9;7;7;7;7;5;4;4;3;3;3;2;0;0;0;0;0;0;0;0;0
233;Oudewater;25;21;21;18;12;10;7;4;4;3;2;2;1;1;1;1;0;0;0;0;0;0;0
234;Overbetuwe;61;60;54;51;44;38;33;30;22;20;15;11;9;9;8;6;4;0;0;0;0;0;0
235;Papendrecht;7;7;7;6;6;6;5;5;4;2;2;1;0;0;0;0;0;0;0;0;0;0;0
236;Peel en Maas;140;134;119;107;96;88;79;69;64;63;49;41;36;31;19;14;10;8;4;3;1;0;0
237;Pekela;3;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;0;0;0;0
238;Pijnacker-Nootdorp;29;26;24;23;20;16;14;12;11;11;11;11;11;10;8;7;6;6;5;5;4;2;2
239;Purmerend;63;56;52;48;39;32;23;22;20;14;11;7;4;2;2;2;2;2;1;1;0;0;0
240;Putten;6;6;6;6;6;5;3;3;3;3;3;2;2;2;2;0;0;0;0;0;0;0;0
241;Raalte;20;17;15;13;12;10;6;5;5;3;3;3;3;3;2;1;1;1;1;0;0;0;0
242;Reimerswaal;7;7;7;7;7;7;6;5;5;5;5;4;3;2;2;1;1;1;1;0;0;0;0
243;Renkum;21;19;18;17;14;12;11;10;10;9;9;8;8;8;8;8;7;7;7;7;5;5;5
244;Renswoude;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
245;Reusel-De Mierden;7;6;5;4;4;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
246;Rheden;35;34;30;27;21;18;15;12;10;7;7;4;3;2;1;1;1;1;1;1;1;0;0
247;Rhenen;6;6;6;5;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
248;Ridderkerk;34;33;27;19;13;9;7;5;5;4;2;1;1;1;1;1;1;1;1;1;1;1;1
249;Rijssen-Holten;21;21;17;13;13;9;4;4;4;3;2;0;0;0;0;0;0;0;0;0;0;0;0
250;Rijswijk;20;17;16;14;11;10;8;7;5;4;4;3;3;2;1;0;0;0;0;0;0;0;0
251;Roerdalen;18;14;14;13;11;10;10;7;6;4;4;1;1;0;0;0;0;0;0;0;0;0;0
252;Roermond;38;32;32;31;29;28;26;23;21;18;15;13;6;4;2;2;2;1;1;1;1;1;1
253;Roosendaal;26;26;25;25;24;20;18;16;11;8;8;7;6;6;6;5;2;2;1;1;0;0;0
254;Rotterdam;375;341;308;249;204;186;163;149;139;120;104;81;58;41;30;25;24;20;15;15;15;14;14
255;Rozendaal;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;0;0;0;0;0;0;0
256;Rucphen;10;10;10;10;6;6;6;6;6;6;3;2;2;1;1;1;0;0;0;0;0;0;0
257;Schagen;19;16;13;13;12;11;10;7;7;7;6;6;5;4;4;4;3;2;1;1;1;0;0
258;Scherpenzeel;4;4;5;4;3;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
259;Schiedam;31;27;22;19;16;14;10;8;8;6;4;2;1;1;1;1;0;0;0;0;0;0;0
260;Schiermonnikoog;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
261;Schouwen-Duiveland;10;10;9;9;8;6;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;1;1
262;Simpelveld;14;12;11;10;10;8;7;5;5;5;5;5;5;4;3;3;2;2;2;2;2;2;2
263;Sint Anthonis;31;30;21;18;14;13;13;13;13;12;10;8;5;4;3;2;2;0;0;0;0;0;0
264;Sint-Michielsgestel;33;32;29;28;22;18;17;14;14;12;12;10;10;8;8;6;6;5;5;5;5;5;5
265;Sittard-Geleen;114;106;102;98;94;86;84;61;59;58;58;51;51;42;38;37;35;23;20;20;13;8;7
266;Sliedrecht;7;6;6;6;7;5;4;3;3;3;2;1;1;1;0;0;0;0;0;0;0;0;0
267;Sluis;6;6;6;6;6;5;5;4;4;3;3;2;2;2;2;1;0;0;0;0;0;0;0
268;Smallingerland;10;8;7;5;5;4;3;3;3;3;3;3;3;3;3;3;2;1;1;1;0;0;0
269;Soest;30;29;28;28;23;21;20;16;16;15;14;13;12;11;10;8;8;8;8;8;8;7;7
270;Someren;29;27;22;19;15;10;7;7;6;5;5;3;3;2;1;1;1;0;0;0;0;0;0
271;Son en Breugel;24;24;22;20;19;15;13;10;10;8;7;5;4;4;4;2;2;2;1;1;0;0;0
272;Stadskanaal;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
273;Staphorst;6;5;5;5;4;4;4;4;3;3;3;2;1;1;1;1;1;0;0;0;0;0;0
274;Stede Broec;20;20;18;18;17;13;9;8;5;5;3;3;1;1;1;0;0;0;0;0;0;0;0
275;Steenbergen;17;17;14;14;11;11;9;8;8;5;4;4;2;2;2;1;0;0;0;0;0;0;0
276;Steenwijkerland;10;10;8;8;8;6;5;4;3;3;1;1;1;1;0;0;0;0;0;0;0;0;0
277;Stein;34;32;31;29;28;24;24;9;6;5;5;4;4;3;3;3;3;1;1;1;0;0;0
278;Stichtse Vecht;34;33;31;30;27;22;16;13;12;10;10;10;9;8;7;7;6;6;5;5;5;5;5
279;Súdwest-Fryslân;23;22;19;15;12;8;6;5;5;4;2;2;1;1;1;1;1;1;0;0;0;0;0
280;Terneuzen;20;18;17;16;14;10;6;6;5;5;5;4;3;2;1;1;1;0;0;0;0;0;0
281;Terschelling;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
282;Texel;3;3;3;3;3;3;3;3;3;3;3;2;0;0;0;0;0;0;0;0;0;0;0
283;Teylingen;13;13;11;11;10;8;7;7;7;5;3;2;0;0;0;0;0;0;0;0;0;0;0
284;Tholen;34;30;25;20;14;13;11;8;7;7;2;2;2;2;1;0;0;0;0;0;0;0;0
285;Tiel;33;29;27;23;20;14;8;6;5;4;4;4;4;4;4;3;2;2;2;1;1;1;0
286;Tilburg;330;306;284;254;230;224;211;193;178;154;133;119;95;88;84;68;68;67;50;42;29;27;12
287;Tubbergen;14;13;12;11;9;4;4;4;3;3;3;3;1;1;1;1;1;1;1;1;1;1;0
288;Twenterand;8;6;5;5;3;3;3;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
289;Tynaarlo;17;17;16;16;15;13;10;8;8;7;5;4;3;1;0;0;0;0;0;0;0;0;0
290;Tytsjerksteradiel;4;4;4;3;2;2;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
291;Uden;154;142;130;123;107;94;92;84;82;76;71;60;53;49;43;33;28;25;21;18;13;12;7
292;Uitgeest;9;8;7;7;4;4;4;4;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0
293;Uithoorn;17;17;16;11;7;5;4;2;2;2;2;2;1;0;0;0;0;0;0;0;0;0;0
294;Urk;14;14;10;9;8;7;7;7;7;6;5;4;1;0;0;0;0;0;0;0;0;0;0
295;Utrecht;307;290;265;243;215;191;160;145;131;121;101;83;69;60;48;38;30;26;25;18;14;13;13
296;Utrechtse Heuvelrug;32;30;25;22;17;15;14;14;11;8;8;8;6;5;3;2;2;2;2;2;2;2;2
297;Vaals;9;8;6;6;6;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
298;Valkenburg aan de Geul;15;13;12;11;10;9;8;4;4;4;4;2;2;2;1;0;0;0;0;0;0;0;0
299;Valkenswaard;36;31;26;20;17;9;8;5;4;4;2;1;1;0;0;0;0;0;0;0;0;0;0
300;Veendam;2;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
301;Veenendaal;20;15;14;13;7;7;6;6;3;2;2;2;1;1;1;1;1;1;1;0;0;0;0
302;Veere;9;9;9;8;7;6;6;6;5;5;2;1;1;1;1;1;1;1;1;1;0;0;0
303;Veldhoven;28;26;24;22;22;18;14;11;11;9;5;2;1;1;1;1;1;1;1;1;1;1;0
304;Velsen;40;38;31;25;23;15;15;11;10;8;5;4;4;4;4;1;1;1;1;0;0;0;0
305;Venlo;96;86;71;67;54;47;40;35;33;33;24;21;12;8;6;4;3;2;2;1;1;1;0
306;Venray;37;31;26;21;20;17;13;10;9;8;6;3;1;0;0;0;0;0;0;0;0;0;0
307;Vijfheerenlanden;47;36;27;24;24;21;18;12;11;9;7;7;4;4;3;2;2;2;1;1;1;1;1
308;Vlaardingen;43;35;30;28;24;22;18;15;15;12;7;4;2;2;1;1;1;1;1;0;0;0;0
309;Vlieland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310;Vlissingen;13;10;10;8;8;8;8;8;6;6;6;5;4;4;3;2;2;2;2;0;0;0;0
311;Voerendaal;13;10;8;7;7;6;5;4;4;4;4;3;3;1;0;0;0;0;0;0;0;0;0
312;Voorschoten;8;8;7;6;6;5;3;3;3;2;2;1;1;0;0;0;0;0;0;0;0;0;0
313;Voorst;20;18;15;13;10;6;3;2;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0
314;Vught;38;36;31;29;25;22;19;17;15;11;8;8;7;6;3;2;2;2;2;1;1;1;0
315;Waadhoeke;6;6;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
316;Waalre;8;7;6;6;6;2;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1
317;Waalwijk;59;59;54;46;39;34;29;24;22;16;15;13;12;11;10;8;8;9;6;6;5;5;5
318;Waddinxveen;9;9;8;7;6;5;4;4;4;4;3;3;1;1;1;1;1;1;1;1;1;0;0
319;Wageningen;8;8;7;5;4;3;3;3;3;3;2;1;1;1;0;0;0;0;0;0;0;0;0
320;Wassenaar;6;6;6;6;6;5;5;5;5;5;4;4;3;3;3;2;2;1;0;0;0;0;0
321;Waterland;14;12;11;11;11;11;10;9;8;8;7;7;4;3;3;2;1;1;1;1;1;1;1
322;Weert;43;41;36;27;28;24;17;12;7;7;4;0;0;0;0;0;0;0;0;0;0;0;0
323;Weesp;10;10;10;8;7;6;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
324;West Betuwe;36;34;34;24;22;19;17;15;12;12;11;8;6;6;3;3;3;3;2;2;2;2;2
325;West Maas en Waal;19;17;15;13;13;11;8;7;6;4;4;3;3;3;3;3;2;2;2;1;1;1;1
326;Westerkwartier;20;18;16;15;12;9;8;8;6;3;2;3;3;3;3;3;2;2;2;1;1;1;1
327;Westerveld;6;5;4;3;2;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
328;Westervoort;5;4;4;2;2;2;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
329;Westerwolde;4;4;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
330;Westland;61;58;45;38;30;28;25;21;15;11;9;7;6;3;1;1;0;0;0;0;0;0;0
331;Weststellingwerf;3;3;2;2;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
332;Westvoorne;12;11;11;9;8;8;8;7;5;3;3;3;3;3;3;3;2;1;1;1;1;1;1
333;Wierden;9;9;7;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
334;Wijchen;43;38;35;30;30;24;23;21;20;17;14;8;8;6;5;4;3;3;2;1;1;1;1
335;Wijdemeren;5;5;5;4;4;3;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
336;Wijk bij Duurstede;11;10;9;7;7;6;6;6;6;6;5;4;4;4;3;3;2;2;2;1;1;1;1
337;Winterswijk;4;4;3;3;2;2;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
338;Woensdrecht;6;6;6;5;5;5;4;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
339;Woerden;44;40;34;25;25;22;19;14;7;6;5;4;4;3;2;2;2;2;2;2;2;2;2
340;Wormerland;13;8;7;6;5;3;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
341;Woudenberg;8;7;6;6;7;6;4;4;3;3;3;2;2;1;1;1;1;1;1;1;0;0;0
342;Zaanstad;75;56;50;46;31;29;20;19;11;9;3;4;2;2;2;2;2;2;2;2;2;2;2
343;Zaltbommel;16;16;13;9;7;7;7;7;6;5;4;3;3;3;1;1;1;1;1;1;1;1;1
344;Zandvoort;10;10;7;6;6;6;6;3;2;2;1;1;1;1;1;1;1;0;0;0;0;0;0
345;Zeewolde;9;8;7;7;6;5;4;4;4;4;4;3;3;2;2;2;2;1;1;1;1;1;1
346;Zeist;47;44;40;34;28;25;20;19;17;17;13;12;12;12;8;6;4;4;4;3;2;1;1
347;Zevenaar;21;20;15;12;10;10;10;9;8;6;5;3;2;0;0;0;0;0;0;0;0;0;0
348;Zoetermeer;28;26;21;17;14;13;8;7;5;4;4;1;1;0;0;0;0;0;0;0;0;0;0
349;Zoeterwoude;3;3;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
350;Zuidplas;17;16;15;11;10;6;3;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
351;Zundert;25;24;23;17;15;14;11;9;7;7;7;6;6;4;3;3;3;3;2;2;1;1;1
352;Zutphen;16;15;11;10;8;8;6;6;4;4;2;1;1;1;0;0;0;0;0;0;0;0;0
353;Zwartewaterland;45;43;38;36;33;30;22;19;17;15;9;5;4;4;2;2;2;2;0;0;0;0;0
354;Zwijndrecht;18;15;13;13;11;9;8;6;6;6;6;6;5;4;3;3;2;0;0;0;0;0;0
355;Zwolle;92;79;68;63;56;47;40;35;28;23;18;16;12;8;6;4;3;2;2;2;1;1;1
